Well_Name,DEPT,DPHZ,DT,GR_EDTC,HCAL,HDRA,NPHI,PEFZ,RHOZ,RLA3,RLA4,RLA5,RM_HRLT,SPHI,SVEL,TENS,TT1,TT2,TT3,TT4
MIP_4H,3928,-0.0274,73.0275,167.7624,8.7245,-0.0045,0.2417,3.5009,2.7246,36.0331,37.2655,37.4404,0.042,0.1457,13693.4795,2614,507.856,373.4824,492.6583,357.9402
MIP_4H,3928.5,-0.0263,73.9241,175.7091,8.7472,-0.0023,0.2318,3.4773,2.7228,35.2695,36.5247,36.7496,0.0423,0.1515,13527.3809,2582,510.701,370.6843,493.4268,349.8015
MIP_4H,3929,-0.0029,71.8713,172.7107,8.7472,-0.0007,0.2195,3.425,2.6847,34.9914,37.3639,37.0362,0.0417,0.138,13913.752,2523,512.3755,371.8232,495.23,350.306
MIP_4H,3929.5,0.0174,71.1932,154.392,8.7813,0.0081,0.2024,3.3339,2.6516,66.9141,75.3299,77.7995,0.0416,0.1334,14046.2881,2542,514.009,370.3937,499.875,349.7159
MIP_4H,3930,0.03,70.9078,146.705,8.7699,0.0099,0.2083,3.267,2.6311,48.4012,50.1363,51.8463,0.0416,0.1314,14102.8115,2559,513.2808,370.4239,497.0542,350.6243
MIP_4H,3930.5,0.0137,70.4918,145.9747,8.7472,0.0095,0.2202,3.2694,2.6576,41.3131,42.4088,43.3463,0.0413,0.1285,14186.0459,2591,513.0376,369.1349,496.5114,352.9932
MIP_4H,3931,-0.0028,72.169,151.1626,8.7245,0.0015,0.242,3.3371,2.6845,37.3964,38.3258,38.8363,0.0417,0.14,13856.3623,2585,511.3522,366.7793,494.3555,347.158
MIP_4H,3931.5,-0.0104,71.85,145.5852,8.7245,-0.0023,0.2427,3.4238,2.697,40.9209,43.0504,42.717,0.0417,0.1379,13917.8906,2605,510.0028,365.5567,496.2154,350.1488
MIP_4H,3932,0.0001,72.1284,137.2993,8.7131,-0.0061,0.2197,3.4934,2.6798,49.3885,50.0101,52.0357,0.0418,0.1398,13864.1563,2555,507.8687,369.5671,491.3055,349.6405
MIP_4H,3932.5,0.0101,71.2455,139.8179,8.679,-0.0078,0.2256,3.4914,2.6635,40.3976,41.4301,41.8147,0.0418,0.1337,14035.9834,2546,504.081,368.2613,493.2596,352.7878
MIP_4H,3933,0.0146,71.5404,148.7044,8.7245,-0.0075,0.2212,3.4838,2.6562,48.7459,50.8043,51.5641,0.0418,0.1358,13978.1221,2549,506.9229,365.4889,493.9105,348.6326
MIP_4H,3933.5,0.0135,71.4743,158.7352,8.7017,-0.004,0.2226,3.4464,2.658,44.4985,45.2094,45.9085,0.042,0.1353,13991.0508,2587,504.7567,363.4218,487.5375,348.119
MIP_4H,3934,0.017,70.8436,163.8132,8.7245,-0.0022,0.2038,3.408,2.6523,50.0946,55.0337,53.8695,0.0418,0.131,14115.5957,2611,502.824,364.3161,486.7478,348.8211
MIP_4H,3934.5,0.0141,69.9597,151.0498,8.7017,0.0001,0.1945,3.3334,2.657,58.869,63.9497,65.8695,0.0421,0.1247,14293.9414,2618,501.5819,363.7676,487.8006,341.5331
MIP_4H,3935,0.0075,68.6731,142.2619,8.679,0.0021,0.1882,3.2614,2.6677,50.5351,54.5294,56.0513,0.0416,0.1153,14561.7324,2586,503.5671,360.6946,489.3821,341.8861
MIP_4H,3935.5,0.0098,68.4492,121.8746,8.679,0.0011,0.172,3.2324,2.6641,68.9662,76.4125,76.4854,0.0414,0.1137,14609.375,2568,502.8174,360.9186,486.8958,341.682
MIP_4H,3936,0.0164,68.6207,123.973,8.679,0.0001,0.1671,3.2644,2.6533,72.5989,81.9555,87.847,0.0415,0.1149,14572.8574,2554,498.3984,360.9951,484.137,343.24
MIP_4H,3936.5,0.0211,69.2883,131.2284,8.679,-0.0005,0.1714,3.3155,2.6457,62.6781,69.2191,73.2692,0.0414,0.1199,14432.459,2558,499.3066,360.3979,481.5168,342.9039
MIP_4H,3937,0.0147,69.5664,141.5662,8.7017,0.0018,0.1802,3.3375,2.6561,51.3071,55.2459,58.1642,0.0411,0.1219,14374.7656,2594,499.2206,359.5063,482.8957,341.0205
MIP_4H,3937.5,0.0135,69.4303,139.5549,8.7017,0.0017,0.1963,3.2913,2.658,62.4099,66.7517,72.5307,0.041,0.1209,14402.9248,2624,498.5008,360.1949,482.4879,341.7533
MIP_4H,3938,0.0119,69.6559,125.4543,8.7358,0.0015,0.1829,3.2434,2.6605,73.562,83.6546,90.8188,0.041,0.1225,14356.2783,2584,500.0286,360.026,485.1648,344.1846
MIP_4H,3938.5,0.0063,69.0854,121.3114,8.7017,0.0021,0.1866,3.2389,2.6697,50.7188,53.93,57.9,0.0409,0.1184,14474.8301,2558,502.1048,362.9098,491.7889,342.2682
MIP_4H,3939,-0.0004,69.3212,124.5333,8.7245,0.0027,0.1654,3.2808,2.6806,53.7119,57.397,61.8018,0.0408,0.1201,14425.6055,2561,503.2351,362.8781,494.2676,347.8827
MIP_4H,3939.5,-0.0018,70.3123,123.9212,8.7017,0.0013,0.1721,3.3104,2.6829,65.594,70.4016,78.5957,0.0413,0.1272,14222.2549,2572,503.6505,365.8648,491.3702,353.0783
MIP_4H,3940,-0.0041,70.2618,126.8248,8.7472,0.0004,0.1638,3.3072,2.6867,57.5495,62.0934,67.8619,0.0415,0.1269,14232.4824,2627,503.4006,367.0517,492.798,355.2351
MIP_4H,3940.5,-0.008,70.3456,135.8915,8.7699,-0.0002,0.1786,3.3055,2.6931,47.2112,49.7279,54.0657,0.0419,0.1275,14215.5313,2594,504.9517,367.2221,493.1522,352.1859
MIP_4H,3941,-0.0068,70.3856,135.9499,8.838,-0.0007,0.1923,3.3013,2.6912,43.4714,47.1165,47.4528,0.042,0.1277,14207.4521,2559,503.323,365.6079,493.9301,353.7535
MIP_4H,3941.5,0.0059,70.3171,126.4176,8.8835,-0.0031,0.1903,3.2787,2.6704,80.4013,93.3044,100.502,0.0425,0.1273,14221.2891,2573,505.9867,367.3973,492.4565,356.9812
MIP_4H,3942,0.0221,70.2607,112.7078,8.8835,-0.0044,0.1825,3.2757,2.6439,61.0314,67.8771,71.2799,0.0426,0.1269,14232.7129,2582,503.7976,366.908,494.5358,353.3708
MIP_4H,3942.5,0.0278,68.801,126.9997,8.9062,-0.0058,0.1758,3.3128,2.6346,50.7434,55.5369,56.7541,0.0423,0.1163,14534.6797,2589,505.2256,367.6822,495.1925,352.2629
MIP_4H,3943,0.0192,69.8577,136.1141,8.8835,-0.0043,0.1788,3.3437,2.6487,66.4472,75.9844,80.6855,0.0426,0.124,14314.8115,2642,506.8417,365.0916,496.0643,352.3247
MIP_4H,3943.5,0.0106,69.8344,148.9048,8.8835,-0.0053,0.1797,3.3695,2.6628,50.4106,53.8242,56.049,0.0424,0.1238,14319.585,2632,505.8729,365.5901,495.6322,353.5662
MIP_4H,3944,-0.0001,69.6068,145.3261,8.8835,-0.0037,0.1708,3.393,2.6802,48.6819,52.5004,53.6617,0.0422,0.1222,14366.4121,2603,502.809,368.0155,490.5801,355.787
MIP_4H,3944.5,-0.0062,70.8899,162.7007,8.838,-0.0036,0.1869,3.4641,2.69,45.1833,47.4757,48.5277,0.0423,0.1313,14106.3906,2563,502.5999,366.7941,491.0467,353.6965
MIP_4H,3945,-0.0142,70.6141,166.9341,8.8608,-0.0024,0.1921,3.5355,2.7032,41.8643,44.5356,44.6978,0.0421,0.1293,14161.4746,2546,504.2458,366.1985,491.3318,352.5051
MIP_4H,3945.5,-0.0227,70.7284,164.2571,8.8153,-0.0002,0.2028,3.5682,2.7171,42.7054,45.0733,45.2326,0.042,0.1301,14138.5996,2560,502.4458,366.0295,489.2131,348.7964
MIP_4H,3946,-0.0235,70.746,146.4683,8.8153,-0.0007,0.192,3.5845,2.7183,43.8074,46.0085,46.1944,0.0417,0.1303,14135.083,2595,501.8239,365.0302,491.1606,349.6587
MIP_4H,3946.5,-0.0255,70.497,142.3467,8.7926,-0.001,0.2043,3.5823,2.7216,42.3732,43.229,43.9301,0.0414,0.1285,14184.9961,2652,501.9032,359.8837,488.4203,347.6775
MIP_4H,3947,-0.0273,70.407,146.5879,8.7472,-0.0025,0.2043,3.5611,2.7245,41.4828,42.9438,43.2856,0.041,0.1279,14203.124,2661,500.834,359.82,488.065,346.2835
MIP_4H,3947.5,-0.0313,70.7986,159.6395,8.7358,0.0004,0.2121,3.5121,2.731,43.2362,44.9918,45.7887,0.0405,0.1306,14124.5684,2573,496.8732,359.214,488.5389,344.1707
MIP_4H,3948,-0.0283,70.3565,162.0132,8.7017,0.0024,0.1923,3.407,2.7261,44.9896,47.9356,48.3132,0.0403,0.1275,14213.3232,2570,498.2871,357.7192,488.4658,343.2483
MIP_4H,3948.5,-0.0206,69.7156,152.5774,8.679,0.0038,0.1906,3.3251,2.7136,47.7282,50.5638,52.0091,0.0401,0.123,14343.9951,2547,497.3177,357.8001,486.4899,341.8717
MIP_4H,3949,-0.0178,70.4241,144.0831,8.6563,0.0049,0.1885,3.2432,2.7091,51.1381,54.9309,56.5604,0.0402,0.128,14199.6855,2556,494.0508,360.1074,480.0695,341.9581
