Hole Depth,Hook Load,Rotary RPM,Rotary Torque,Weight on Bit,Differential Pressure,Gamma at Bit,Rate Of Penetration
7063,122.7,50,9.077,18.2,604.4,113.97,106.64
7064,122.8,50,8.976,18.3,602.7,121.32,111.86
7065,123.7,50,8.848,18.1,607.9,132.35,113.2
7066,123.2,50,8.845,18.6,608.1,121.32,112.69
7067,122.7,50,8.923,18.3,604.2,121.32,107.78
7068,124.4,50,8.743,18.8,610.3,136.03,104.77
7069,123.8,50,9.028,18.8,603.5,125,114.53
7070,124,50,8.766,18.2,597.4,132.35,104.53
7071,123.7,50,9.084,17.4,602,113.97,118.2
7072,123.8,50,8.961,18,597.8,117.64,122.8
7073,122.9,50,8.931,18.2,603.5,80.88,116.06
7074,123.5,50,8.89,18.4,597.8,113.97,103.08
7075,122.9,50,9.047,18.4,594.1,117.64,101.89
7076,123.3,50,9.054,18.9,601.5,102.94,105.7
7077,123.4,50,8.957,19,606.9,110.29,106.8
7078,123.5,50,8.785,19.3,608.3,102.94,107.29
7079,123,50,8.833,18.1,589.3,117.64,101.63
7080,123.1,50,8.725,18.4,592.2,132.35,99.65
7081,123.4,50,9.294,18.1,607.8,132.35,105.72
7082,123.6,50,8.92,17.8,602.8,136.03,104.01
7083,124.3,50,8.998,17.7,595.4,132.35,122.64
7084,123,50,8.856,18.8,588,117.64,121.87
7086,129.9,1,4.368,11.9,254.8,125,29.11
7087,129.1,0,4.398,13.3,261.6,117.64,34.22
7088,133,0,5.555,13.6,352.5,117.64,34.3
7089,127,0,5.788,16.5,316,121.32,33.74
7090,128.5,0,5.361,16,306.9,132.35,34.16
7091,130.7,0,5.885,13,304.7,139.7,34.2
7092,128,0,4.356,13,309.3,132.35,33.99
7093,128.5,0,5.608,13.9,301.4,125,36.28
7094,131.3,0,5.72,15,330.1,117.64,30.7
7095,135.9,49,4.843,15.3,309.2,125,36.22
7096,133.5,49,8.912,17.7,448.7,121.32,94.59
7097,125.2,49,10.699,19.4,627.2,106.62,146.57
7098,122.6,49,10.512,18.2,603.5,110.29,116.75
7099,123.3,49,10.422,18.2,594.5,106.62,114.27
7100,124,49,10.04,19.1,607.5,150.73,141.07
7101,122.4,49,9.92,18.9,607,139.7,133.81
7102,122.2,49,9.942,18.8,605.8,102.94,110.51
7103,122.6,49,9.676,18.2,600.4,128.67,110.66
7104,124,49,10.025,17.6,594.3,128.67,114.02
7105,126.4,49,10.253,19,631.8,117.64,133.14
7106,127.4,49,10.441,18.8,618.1,117.64,141.68
7107,124.5,49,9.867,18.1,600.8,106.62,156.38
7108,122.6,49,9.56,18.5,598.8,102.94,129.22
7109,122.5,49,9.747,18.1,595.6,121.32,118.35
7110,124.3,49,10.047,18.2,605,113.97,117.33
7111,126.4,49,10.354,19.2,641.2,113.97,124.85
7112,124.9,49,9.774,19.2,613.8,110.29,120.27
7113,124.8,49,8.893,18,551.2,117.64,121.1
7114,125.2,49,10.201,18.4,613.5,106.62,121.11
7115,124.4,49,10.291,18.4,604.7,128.67,119.82
7116,123.5,49,10.313,17.8,573.5,110.29,119.93
7117,125.5,49,10.381,17.8,605.3,95.59,119.54
7118,123.1,49,9.969,18.3,599.3,125,119.12
7119,122.8,49,10.017,18.6,601.5,110.29,115.73
7120,122.6,49,9.856,20.2,603.1,121.32,116.33
7121,121.6,49,9.789,19.6,554.4,106.62,120.11
